"objectid","rec_bldg","park_name","fac_nm_id","address","zip","sq_ft","year_built","serv_dist","adult_ctr","comfort_st","comp_room","dance_rm","game_room","gymnasium","kiln","kiln_room","kitchen","multi_purp","racquetbll","stage","teen_ctr","tinytot_rm","weight_rm","cd","neighborhd","lat","lng"
"28","Rancho Bernardo Rec Center","Rancho Bernardo Community Park","10052","18448 W Bernardo Dr","92127","14750","1994","40","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","5","RANCHO BERNARDO","33.04789696077019","-117.07584518030204"
"29","North Park Rec Center","North Park Community Park","488","4044 Idaho St","92104","11230","1947","41","1","0","0","1","1","1","1","1","1","3","0","0","1","1","0","3","NORTH PARK","32.75090087324055","-117.13418236426405"
"30","Scripps Ranch Rec Center","Scripps Ranch Community Park","10279","11454 Blue Cypress Dr","92131","12080","2000","40","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","5","MIRAMAR RANCH NORTH","32.92867422067815","-117.0798588377493"
"31","Azalea Rec Center","Azalea Neighborhood Park","1072","2596 Violet St","92105","1790","1973","41","0","0","1","0","0","0","2","1","1","1","0","0","0","0","0","9","AZALEA/HOLLYWOOD PARK","32.7323646442225","-117.10817166761672"
"32","Southcrest Rec Center","Southcrest Community Park","299","4149 Newton Av","92113","10620","1964","43","0","0","0","0","1","1","1","0","1","2","0","0","1","0","1","8","SOUTHCREST","32.69427131368468","-117.10459424081246"
"33","Paradise Hills Rec Center","Paradise Hills Community Park","1075","6610 Potomac St","92139","10808","1973","43","0","0","0","0","0","1","0","0","1","2","0","0","0","1","0","4","PARADISE HILLS","32.685278531341524","-117.05076749802406"
"34","Serra Mesa Rec Center","Serra Mesa Community Park","480","9020 Village Glen Dr","92123","10710","1964","45","0","0","0","0","0","1","1","1","1","3","0","0","0","0","0","7","SERRA MESA","32.80537746106929","-117.13317149803535"
"35","Ocean Air Rec Center","Ocean Air Community Park","10525","4770 Fairport Way","92130","16500","2009","40","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","1","CARMEL VALLEY","32.92803828076477","-117.21705420468184"
"36","Doyle Rec Center","Doyle Community Park","9998","8175 Regents Rd","92122","17590","1992","44","0","0","0","1","0","1","0","0","1","5","0","0","0","0","1","6","UNIVERSITY CITY","32.86462307509567","-117.22108436342086"
"37","San Carlos Rec Center","San Carlos Community Park","756","6445 Lake Badin Av","92119","11880","1970","45","0","0","0","1","1","1","1","1","1","3","0","0","0","0","0","7","LAKE MURRAY","32.798250243125274","-117.02170289120663"
"38","Cesar Chavez Comm Center","San Ysidro Athletic Area","10019","455 Sycamore Rd","92173","13000","1993","42","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","8","SAN YSIDRO","32.54676994955479","-117.04543623518198"
"39","Robert Egger, Sr. - South Bay Rec Center","Robert Egger, Sr. - South Bay Community Park","1067","1885 Coronado Av","92154","14750","1974","42","0","0","0","0","0","1","0","0","1","2","0","0","1","0","0","8","EGGER HIGHLANDS","32.575069513335066","-117.09396570387621"
"40","Nobel Rec Center","Nobel Athletic Area","10448","8810 Judicial Dr","92122","10200","2007","44","0","0","0","0","0","1","0","0","1","3","0","0","0","0","0","6","UNIVERSITY CITY","32.86697135716738","-117.1992836728133"
"41","Canyonside Rec Center","Canyonside Community Park","10008","12350 Black Mountain Rd","92126","15560","1993","40","0","0","0","0","1","1","0","0","0","2","0","0","0","0","0","5","RANCHO PENASQUITOS","32.942273271634356","-117.13029468518592"
"42","Lopez Ridge Rec Center","Lopez Ridge Park","10320","7245 Calle Cristobal","92126","2590","2002","44","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","6","MIRA MESA","32.920776685359606","-117.16835808712098"
"43","Gil Johnson Mira Mesa Rec Center","Mira Mesa Community Park","1236","8575 New Salem St","92126","10810","1976","44","0","0","0","0","0","1","1","1","1","3","0","0","0","0","0","6","MIRA MESA","32.91517114591862","-117.14005692398656"
"44","Hilltop Rec Center","Hilltop Community Park","10254","9711 Oviedo Wy","92129","5330","1998","40","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","5","RANCHO PENASQUITOS","32.97148877293932","-117.11873726474366"
"45","Black Mtn Multi-Purpose Gym","Black Mountain Middle School","10254","9353 Oviedo St","92126","13680","1998","40","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","5","RANCHO PENASQUITOS","32.96953891811702","-117.12500805826035"
"46","Pacific Beach Rec Center","Pacific Beach Community Park","497","1405 Diamond St","92109","15040","1948","44","0","0","0","0","0","1","0","0","1","3","0","0","0","0","1","1","PACIFIC BEACH","32.80155896145586","-117.24492999822394"
"47","Linda Vista Rec Center","Linda Vista Community Park","000775","7064 Levant St","92111","13710","1955","45","0","0","0","0","0","1","0","0","1","3","0","0","0","0","1","7","LINDA VISTA","32.79248976843051","-117.16970057714119"
"48","Cathy Hopper Friendship Senior Center","North Clairemont CP","","4425 Bannock Avenue","92117","","","44","","","","","","","","","","","","","","","","2","NORTH CLAIREMONT","32.83260794553196","-117.19668021733744"
"49","North Clairemont Rec Center","North Clairemont Community Park","555","4421 Bannock Av","92117","9810","1961","44","0","0","0","0","1","1","1","1","1","3","0","0","0","0","0","2","NORTH CLAIREMONT","32.83239485849539","-117.19740810520953"
"50","Penn Rec Center","Penn Athletic Field","9941","2555 Dusk Dr","92139","2880","1992","43","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","4","BAY TERRACES","32.67826794571245","-117.0477122514651"
"51","Dolores Magdaleno Memorial Rec Center","Memorial Community Park","496","2902 Marcy Av","92113","14140","1994","42","0","0","0","0","1","1","1","1","1","3","0","0","1","0","1","8","LOGAN HEIGHTS","32.69780038229515","-117.13054178557444"
"52","So. Clairemont Rec Center","South Clairmont Community Park","771","3605 Clairemont Dr","92117","6560","1955","44","0","0","0","1","0","0","0","0","1","2","0","1","0","0","0","2","BAY PARK","32.806370621494","-117.20051723383517"
"53","City Heights Rec Center","City Heights Community Park","1251","4380 Landis St","92105","27360","1996","41","0","0","1","0","0","0","2","1","1","1","0","0","1","1","0","9","FAIRMONT VILLAGE","32.74600511701164","-117.10001033397761"
"54","Kearny Mesa Rec Center","Kearny Mesa Community Park","1074","3170 Armstrong St","92111","11140","1973","45","0","0","0","0","1","1","0","0","1","2","0","0","0","0","0","7","LINDA VISTA","32.8025548257626","-117.16430848266305"
"55","Tierrasanta Rec Center","Tierrasanta Community Park","9951","11220 Clairemont Mesa Bl","92124","17640","1990","45","0","0","0","1","0","1","0","0","1","5","0","0","0","0","0","7","TIERRASANTA","32.83015973189251","-117.08740501816628"
"56","Martin L. King, Jr. Memorial Rec Center","Martin Luther King, Jr. Memorial Community","1490","6401 Skyline Dr","92114","17000","1987","43","0","1","0","0","1","1","1","1","1","2","2","0","0","0","1","4","ENCANTO","32.70097820500591","-117.06070428325056"
"57","Colina Del Sol Rec Center","Colina Del Sol Community Park","491","5319 Orange Av","92115","6560","1962","41","0","0","0","0","1","1","1","1","1","2","0","0","0","0","0","9","COLINA DEL SOL","32.752817855330406","-117.08011697726168"
"58","Allied Gardens Rec Center","Allied Gardens Community Park","557","5155 Greenbrier Av","92120","9190","1962","45","0","0","0","0","1","1","1","1","1","3","0","0","0","0","0","7","ALLIED GARDENS","32.795926252579456","-117.08062862005995"
"59","Standley Rec Center","Standley Community Park","1213","3585 Governor Dr","92122","18870","1976","44","0","0","0","0","1","1","0","0","1","2","0","0","0","0","0","6","UNIVERSITY CITY","32.851097644358326","-117.21012066526703"
"60","Hourglass Rec Center","Mira Mesa Communty College","0","10440 Black Mountain Rd","92126","25000","2009","44","0","0","0","1","0","1","0","0","1","4","0","0","0","0","0","6","MIRA MESA","32.90843510563245","-117.1199266162646"
"61","Carmel Valley Rec Center","Carmel Valley TownCenter Community Park","10304","3770 Townsgate Dr","92130","17250","1999","40","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","1","CARMEL VALLEY","32.948589985317334","-117.23403935749799"
