"objectid","rd20full","length_mi","class","xstrt1","xstrt2","district","sapid","iamfloc"
"1620","GRAND AV","0.10525984","Class II","MISSION BL","BAYARD ST","1","SS-012502",""
"1621","LA JOLLA BL","0.02049742","Class II","GRAVILLA ST","PLAYA DEL SUR ST","1","SS-015505","SS-015505"
"1622","SCRIPPS POWAY PY","0.36161564","Class II","ANGELIQUE ST","CITY BOUNDARY","5","SS-024539",""
"1623","TWIN TRAILS DR","0.05001449","Class II","CAYOTE AV","SUNDANCE AV","5","SS-027013",""
"1624","ORANGE AV","0.06307643","Class III","MENLO AV","47TH ST","9","SS-020624","SS-020624"
"1625","CLAIREMONT MESA BL","0.13472084","Class II","REPECHO DR","ESCARCHOSA LN","7","SS-007289",""
"1626","MISSION BL","0.06637574","Class III","LAW ST","BERYL ST","1","SS-018497","SS-018497"
"1627","CAMPUS POINT DR","0.17405434","Class II","MEDICAL CENTER DR","VOIGT DR","6","No Segment ID","No IAMFLOC ID"
"1628","04TH AV","0.07253817","Class IV (One-Way)","JUNIPER ST","KALMIA ST","3","SS-000123","SS-000123"
"1629","PACIFIC HY","0.07283696","Class III","W E ST","W BROADWAY","3","SS-020920","SS-020920"
"1630","DEL MAR HEIGHTS RD","0.10045744","Class II","DEL MAR HILLS DR","HIGH BLUFF DR","1","SS-008964","SS-008964"
"1631","TALBOT ST","0.10514522","Class III","AKRON ST","MARTINEZ ST","2","SS-026112","SS-026112"
"1632","FRIARS RD","0.08749893","Class II","FRAZEE RD","FRIARS RD RA","3","SS-011497","SS-011497"
"1633","MISSION CENTER RD","0.19428175","Class II","HAZARD CENTER DR","MISSION CENTER CT","3","SS-018569","SS-018569"
"1634","BALBOA AV","0.11129604","Class II","BALBOA WY","GENESEE AV","2","SS-003401","SS-003401"
"1635","FORT STOCKTON DR","0.05264234","Class III","IBIS ST","JACKDAW ST","3","SS-011356","SS-011356"
"1636","CASS ST","0.06712159","Class II","MISSOURI ST","CHALCEDONY ST","1","SS-006622",""
"1637","NIGHTHAWK LN","0.19310546","Class II","CAM SAN BERNARDO","ZASLAVSKY PL","5","SS-032137",""
"1638","CAM DEL SUR","0.36380516","Class II","CASEY GLEN","OLD COURSE RD","5","SS-002834","SS-002834"
"1639","SEA WORLD DR","0.88171368","Class II","PEREZ COVE WY","FRIARS RD","2","SS-024635","SS-024635"
"1640","W ASH ST","0.04450797","Class III","INDIA ST","KETTNER BL","3","SS-029729",""
"1641","POWAY RD","0.35129366","Class II","SPRINGBROOK DR","SPRINGHURST DR","5","SS-022312",""
