"objectid","2name","name","gis_acres","park_type","address","owner","source_id","source","source_dt","src_notes"
"1","South Carlsbad SB","South Carlsbad State Beach","115.89587845","State","","State Parks","652","State Parks","0416"," "
"2","Torrey Pines SB","Torrey Pines State Beach","67.29430932","State","","State Parks","631","State Parks","0416"," "
"3","Ruocco Park","Ruocco Park","3.31252600","Local","585 Harbor Ln, San Diego. California","SDUPD","","SDUPD","0416"," "
"4","Tuna Harbor Park","Tuna Harbor Park","0.63903495","Local","700 North Harbor Dr, San Diego. California","SDUPD","","SDUPD","0416"," "
"5","San Diego Bayfront Park","San Diego Bayfront Park","3.66927183","Local","One Park Boulevard, San Diego. California","SDUPD","","SDUPD","0416"," "
"6","Pepper Park ","Pepper Park ","4.82051500","Local","3299 Tidelands Av, National City. California","SDUPD","","SDUPD","0416"," "
"7","Ocotillo Wells SVRA","Ocotillo Wells SVRA","21283.69410904","State","","State Parks","439","State Parks","0416"," "
"8","We-Nelsch CP","We-Nelsch Cultural Preserve","433.13631991","State","","State Parks","626","State Parks","0416"," "
"9","Agua Caliente County Park (ABDSP)","Agua Caliente County Park","681.32190708","State","","State Parks","622","State Parks","0416"," "
"10","Santa Rosa Mountains SW","Santa Rosa Mountains State Wilderness","136644.07947663","State","","State Parks","627","State Parks","0416"," "
"11","San Pasqual Battlefield SHP","San Pasqual Battlefield State Park","70.70424345","State","","State Parks","615","State Parks","0416"," "
"12","Carlsbad SB","Carlsbad State Beach","39.04164118","State","","State Parks","612","State Parks","0416"," "
"13","Anza-Borrego Desert SW","Anza-Borrego Desert State Wilderness","321408.10663422","State","","State Parks","624","State Parks","0416"," "
"14","Coyote Canyon CP","Coyote Canyon Cultural Preserve","29708.37690265","State","","State Parks","613","State Parks","0416"," "
"15","Los Penasquitos Marsh NP","Los Penasquitos Marsh Nature Nature Preserve","213.47037090","State","","State Parks","640","State Parks","0416"," "
"16","Border Field SP","Border Field State Park","787.55380635","State","","State Parks","669","State Parks","0416"," "
"17","Cuyamaca Rancho SP","Cuyamaca Rancho State Park","24737.00579680","State","","State Parks","618","State Parks","0416"," "
"18","Ocotillo Wells SVRA","Ocotillo Wells SVRA","55708.16932976","State","","State Parks","439","State Parks","0416"," "
"19","Old Town San Diego SHP","Old Town San Diego State Park","32.38658082","State","","State Parks","667","State Parks","0416"," "
"20","Palomar Mountain SP","Palomar Mountain State Park","1884.89899311","State","","State Parks","617","State Parks","0416"," "
"21","San Onofre SB","San Onofre State Beach","2086.17322044","State","","State Parks","663","State Parks","0416"," "
"22","Torrey Pines SNR","Torrey Pines State Nature Reserve","1466.79860340","State","","State Parks","630","State Parks","0416"," "
"23","Grand Caribe Shoreline Park","Grand Caribe Shoreline Park","2.29803442","Local","598 Grand Caribe Cswy, Coronado. California","SDUPD","","SDUPD","0416"," "
"24","Ah-Ha-Kwe-Ah-Mac/Stonewall Mine CP","Ah-Ha-Kwe-Ah-Mac/Stonewall Mine Cultural Preserve","395.44835768","State","","State Parks","909","State Parks","0416"," "
"25","Pilcha (West Mesa) CP","Pilcha (West Mesa) Cultural Preserve","1429.33488440","State","","State Parks","959","State Parks","0416"," "
"26","Kumeyaay Soapstone CP","Kumeyaay Soapstone Cultural Preserve","135.35174094","State","","State Parks","962","State Parks","0416"," "
"27","Cuish-Cuish (East Mesa) CP","Cuish-Cuish (East Mesa) Cultural Preserve","498.57977815","State","","State Parks","961","State Parks","0416"," "
"28","Doane Valley NP","Doane Valley Nature Nature Preserve","448.04176173","State","","State Parks","675","State Parks","0416"," "
"29","Trestles Wetlands NP","Trestles Wetlands Nature Nature Preserve","76.67081008","State","","State Parks","923","State Parks","0416"," "
"30","Shelter Island Shoreline Park (North)","Shelter Island Shoreline Park (North)","6.19480905","Local","1500 Shelter Island Dr, San Diego. California","SDUPD","","SDUPD","0416"," "
"31","Coronado Ferry Landing Park ","Coronado Ferry Landing Park ","1.93336437","Local","1 B Av, Coronado. California","SDUPD","","SDUPD","0416"," "
"32","Centennial Park","Centennial Park","1.65622424","Local","1 B Av, Coronado. California","SDUPD","","SDUPD","0416"," "
"33","Lane Field Park","Lane Field Park","1.57061020","Local","1009 North Harbor Dr, San Diego. California","SDUPD","","SDUPD","0416"," "
"34","Broadway Landing","Broadway Landing","1.81111252","Local","1198 West Broadway, San Diego. California","SDUPD","","SDUPD","0416"," "
"35","Harbor Island Park","Harbor Island Park","2.99421775","Local","1875 Harbor Island Dr, San Diego. California","SDUPD","","SDUPD","0416"," "
"36","Spanish Landing Park (East)","Spanish Landing Park (East)","9.44100083","Local","3900 North Harbor Dr, San Diego. California","SDUPD","","SDUPD","0416"," "
"37","Spanish Landing Park (West)","Spanish Landing Park (West)","0.68908028","Local","4300 North Harbor Dr, San Diego. California","SDUPD","","SDUPD","0416"," "
"38","Spanish Landing Park (West)","Spanish Landing Park (West)","7.78871839","Local","4300 North Harbor Dr, San Diego. California","SDUPD","","SDUPD","0416"," "
"39","Tuna Harbor Park","Tuna Harbor Park","3.24508696","Local","700 North Harbor Dr, San Diego. California","SDUPD","","SDUPD","0416"," "
"40","Shelter Island Shoreline Park (Central)","Shelter Island Shoreline Park (Central)","7.78980472","Local","1800 Shelter Island Dr, San Diego. California","SDUPD","","SDUPD","0416"," "
"41","Shelter Island Shoreline Park (Central)","Shelter Island Shoreline Park (Central)","1.05988250","Local","1800 Shelter Island Dr, San Diego. California","SDUPD","","SDUPD","0416"," "
"42","Shelter Island Shoreline Park (Central)","Shelter Island Shoreline Park (Central)","0.12901930","Local","1800 Shelter Island Dr, San Diego. California","SDUPD","","SDUPD","0416"," "
"43","Chula Vista Bayside Park & Pier","Chula Vista Bayside Park & Pier","10.44718573","Local","999 Bayside Pkwy, Chula Vista. California","SDUPD","","SDUPD","0416"," "
"44","MAXTON BROWN PARK","Maxton Brown Park","0.94318269","Local","Laguna Dr and State St","City of Carlsbad","","City of Carlsbad","0316"," "
"45","OAK PARK","Oak Park","0.18332298","Local","Oak Av and Pio Pico Dr","City of Carlsbad","","City of Carlsbad","0316"," "
"46","MAGEE PARK","Magee Park","2.05548447","Local","258 Beech Avenue","City of Carlsbad","","City of Carlsbad","0316"," "
"47","HOLIDAY PARK","Holiday Park","5.97466351","Local","Chestnut Ave and Pio Pico Drive","City of Carlsbad","","City of Carlsbad","0316"," "
"48","ROTARY PARK","Rotary Park","0.79257226","Local","2900 Washington St","City of Carlsbad","","City of Carlsbad","0316"," "
"49","PINE PARK","Pine Park","7.10448447","Local","3500 Harding St","City of Carlsbad","","City of Carlsbad","0316"," "
"50","CHASE FIELD","Chase Field","2.72663817","Local","3400 Harding St","City of Carlsbad","","City of Carlsbad","0316"," "
"51","LAGUNA RIVERA PARK","Laguna Rivera Park","4.19945566","Local","Kelly and Park Dr","City of Carlsbad","","City of Carlsbad","0316"," "
"52","ZONE 5 PARK ","Zone 5 Park ","12.29107776","Local","Faraday Av and Camino Hills Dr","City of Carlsbad","","City of Carlsbad","0316"," "
"53","Culp Valley CP","Culp Valley Cultural Preserve","1277.32970739","State","","State Parks","620","State Parks","0416"," "
"54","Angelina Spring CP","Angelina Spring Cultural Preserve","437.82574353","State","","State Parks","628","State Parks","0416"," "
"55","Little Blair Valley CP","Little Blair Valley Cultural Preserve","4757.20177379","State","","State Parks","629","State Parks","0416"," "
"56","Piedras Grandes CP","Piedras Grandes Cultural Preserve","1921.94091168","State","","State Parks","608","State Parks","0416"," "
"57","Southern Overland Trail CP","Southern Overland Trail Cultural Preserve","314.36187946","State","","State Parks","609","State Parks","0416"," "
"58","Barrel Springs CP","Barrel Springs Cultural Preserve","33.53946763","State","","State Parks","963","State Parks","0416"," "
"59","Hawi-Vallecito CP","Hawi-Vallecito Cultural Preserve","4385.85652453","State","","State Parks","632","State Parks","0416"," "
"60","Ellen Browning Scripps NP","Ellen Browning Scripps Nature Nature Preserve","68.46856129","State","","State Parks","633","State Parks","0416"," "
"61","Anza-Borrego Desert SP","Anza-Borrego Desert State Park","622526.69758521","State","","State Parks","622","State Parks","0416"," "
"62","Los Penasquitos Marsh NP","Los Penasquitos Marsh Nature Nature Preserve","199.66583758","State","","State Parks","640","State Parks","0416"," "
"63","Navy Pier","Navy Pier","3.91834585","Local","900 North Harbor Dr, San Diego. California","SDUPD","","SDUPD","0416"," "
"64","Coronado Tidelands Park","Coronado Tidelands Park","25.66508022","Local","2000 Mullinix Dr, Coronado. California","SDUPD","","SDUPD","0416"," "
"65","Dunes Park","Dunes Park","1.17136981","Local","790 Seacoast Dr, Imperial Beach. California","SDUPD","","SDUPD","0416"," "
"66","Cesar Chavez Park","Cesar Chavez Park","4.23080690","Local","1449 Cesar E. Chavez Pkwy, San Diego. California","SDUPD","","SDUPD","0416"," "
"67","Fifth Avenue Landing Lawn Area","Fifth Avenue Landing Lawn Area","0.79844058","Local","600 Convention Center Wy, San Diego. California","SDUPD","","SDUPD","0416"," "
"68","Yacht Club Promenade Pocket Park","Yacht Club Promenade Pocket Park","0.49886799","Local","Strand Wy, Coronado. California","SDUPD","","SDUPD","0416"," "
"69","Embarcadero Marina Park North","Embarcadero Marina Park North","8.58861122","Local","400 Kettner Blvd, San Diego. California","SDUPD","","SDUPD","0416"," "
"70","Point Loma Marina Park","Point Loma Marina Park","0.25137697","Local","2040 Harbor Island Drive, San Diego. California","SDUPD","","SDUPD","0416"," "
"71","Portwood Pier Plaza","Portwood Pier Plaza","1.27350942","Local","940 Seacoast Dr, Imperial Beach. California","SDUPD","","SDUPD","0416"," "
"72","Holiday Estates I Park","Holiday Estates I Park","0.24847606","Local","383 Connoley Cir","City of Chula Vista","219","City of Chula Vista","0316"," "
"73","Silver Strand SB","Silver Strand State Beach","266.50843238","State","","State Parks","614a","State Parks","0416","Onshore portion split from State Park by SanGIS"
"74","Moonlight SB","Moonlight State Beach","14.76056695","State","","State Parks","638","State Parks","0416"," "
"75","Leucadia SB","Leucadia State Beach","4.24782083","State","","State Parks","634","State Parks","0416"," "
"76","Cuyamaca Mountain SW","Cuyamaca Mountain State Wilderness","13082.74118552","State","","State Parks","906","State Parks","0416"," "
"77","Cuyamaca Meadow NP","Cuyamaca Meadow Nature Preserve","731.10923117","State","","State Parks","980","State Parks","0416"," "
"78","SKATE PARK","Skate Park","3.38327952","Local","Safety Center & Orion Wy","City of Carlsbad","","City of Carlsbad","0316"," "
"79","Gayle L McCandliss Park","Gayle L Mccandliss Park","1.57650175","Local","415 E J St","City of Chula Vista","44","City of Chula Vista","0316"," "
"80","Sunbow Park","Sunbow Park","3.71346886","Local","500 E Naples St","City of Chula Vista","237","City of Chula Vista","0316"," "
"81","Lancerlot Park","Lancerlot Park","0.15553423","Local","750 K St","City of Chula Vista","205","City of Chula Vista","0316"," "
"82","Eucalyptus Park","Eucalyptus Park","19.69480890","Local","Fourth Av & C St","City of Chula Vista","201","City of Chula Vista","0316"," "
"83","Friendship Park","Friendship Park","3.78496417","Local","Fourth Av & F St","City of Chula Vista","202","City of Chula Vista","0316"," "
"84","Norman Park","Norman Park","1.41338696","Local","270 F St","City of Chula Vista","204","City of Chula Vista","0316"," "
"85","Chula Vista Women's Club","Chula Vista Women'S Club","0.34392360","Local","390 Garrett Av","City of Chula Vista","285","City of Chula Vista","0316"," "
"86","Memorial Park","Memorial Park","8.02061271","Local","373 Park Wy","City of Chula Vista","203","City of Chula Vista","0316"," "
"87","Bay Boulevard Park","Bay Boulevard Park","0.74907526","Local","F St & Bay Bl","City of Chula Vista","294","City of Chula Vista","0316"," "
"88","Bayside Park","Bayside Park","9.28741530","Local","Bayside Pw","SDUPD","236","City of Chula Vista","0316"," "
"89","Bayfront Park","Bayfront Park","10.45791652","Local","800 Marina Pkwy","SDUPD","98","City of Chula Vista","0316"," "
"90","Marina View Park","Marina View Park","5.92683044","Local","800 Marina Pkwy","SDUPD","207","City of Chula Vista","0316"," "
"91","Embarcadero Marina Park South","Embarcadero Marina Park South","10.62725077","Local","20 Marina Park Wy, San Diego. California","SDUPD","","SDUPD","0416"," "
"92","Coronado Skatepark","Coronado Skatepark","0.53595781","Local","2000 Mullinix Drive, Coronado. California","SDUPD","","SDUPD","0416"," "
"93","Kellogg Beach Park","Kellogg Beach Park","0.96617794","Local","Kellogg St., San Diego, California","SDUPD","","SDUPD","0416"," "
"94","Shelter Island Shoreline Park (South)","Shelter Island Shoreline Park (South)","4.91261497","Local","1500 Shelter Island Dr, San Diego. California","SDUPD","","SDUPD","0416"," "
"95","FUERTE PARK","Fuerte Park","4.69128421","Local","El Fuerte St and Corinitia St","City of Carlsbad","","City of Carlsbad","0316"," "
"96","STAGECOACH PARK","Stagecoach Park","28.47819650","Local","3420 Camino de los Coches","City of Carlsbad","","City of Carlsbad","0316"," "
"97","ALGA NORTE PARK","Alga Norte Park","32.10515054","Local","6565 Alicante Rd","City of Carlsbad","","City of Carlsbad","0316"," "
"98","Marisol Park","Marisol Park","5.01247168","Local","916 Rancho Del Rey Pkwy","City of Chula Vista","243","City of Chula Vista","0316"," "
"99","Terra Nova Park","Terra Nova Park","8.27517040","Local","450 Hidden Vista Dr","City of Chula Vista","230","City of Chula Vista","0316"," "
"100","Rohr Park","Rohr Park","59.90177914","Local","4548 Sweetwater Rd","City of Chula Vista","322","City of Chula Vista","0316"," "
"101","Discovery Park","Discovery Park","20.36818917","Local","700 Buena Vista Wy","City of Chula Vista","239","City of Chula Vista","0316"," "
"102","Loma Verde Park","Loma Verde Park","6.27671167","Local","1420 Loma Ln","City of Chula Vista","212","City of Chula Vista","0316"," "
"103","Rienstra Sports Complex","Rienstra Sports Complex","13.26060769","Local","1500 Max Av","City of Chula Vista","215","City of Chula Vista","0316"," "
"104","Los Ninos Park","Los Ninos Park","5.00923535","Local","150 Teal St","City of Chula Vista","216","City of Chula Vista","0316"," "
"105","Connoley Park","Connoley Park","0.66337874","Local","1559 Connoley Av","City of Chula Vista","217","City of Chula Vista","0316"," "
"106","Holiday Estates II Park","Holiday Estates Ii Park","0.21476508","Local","368 Connoley Cir","City of Chula Vista","218","City of Chula Vista","0316"," "
"107","Glen Park","Glen Park","4.44644753","Local","2149 Orinda Dr","City of Encinitas","23","City of Encinitas","0216"," "
"108","Las Verdes Park","Las Verdes Park","3.66017642","Local","1390 Paseo De Las Verdes","City of Encinitas","","City of Encinitas","0216"," "
"109","Wiro Park","Wiro Park","1.02331497","Local","2232 El Camino Del Norte","City of Encinitas","59","City of Encinitas","0216"," "
"110","Encinitas Viewpoint","Encinitas Viewpoint","2.41183951","Local","56 E D St","City of Encinitas","205","City of Encinitas","0216"," "
"111","Horizon Park","Horizon Park","5.62820966","Local","970 E Palomar St","City of Chula Vista","326","City of Chula Vista","0316"," "
"112","Sunridge Park","Sunridge Park","6.58411210","Local","952 Beechglen Dr","City of Chula Vista","231","City of Chula Vista","0316"," "
"113","Chula Vista Marina View Park","Chula Vista Marina View Park","4.87836116","Local","900 Marina Pkwy, Chula Vista. California","SDUPD","","SDUPD","0416"," "
"114","Chula Vista Bayfront Park","Chula Vista Bayfront Park","9.23002207","Local","980 Marina Pkwy, Chula Vista. California","SDUPD","","SDUPD","0416"," "
"115","Otay Park","Otay Park","4.25488200","Local","1613 Albany Av","City of Chula Vista","220","City of Chula Vista","0316"," "
"116","Otay Gym & Rec Center","Otay Gym & Rec Center","1.32447132","Local","3554 Main St","City of Chula Vista","93","City of Chula Vista","0316"," "
"117","Valle Lindo Park","Valle Lindo Park","4.35259118","Local","545 Sequoia Dr","City of Chula Vista","221","City of Chula Vista","0316"," "
"118","Greg Rogers Park","Greg Rogers Park","27.32937354","Local","1189 Oleander Av","City of Chula Vista","210","City of Chula Vista","0316"," "
"119","Veterans Park","Veterans Park","10.02850300","Local","785 E Palomar St","City of Chula Vista","323","City of Chula Vista","0316"," "
"120","CALAVERA PARK","Calavera Park","16.80832486","Local","2997 Glasgow Drive","City of Carlsbad","","City of Carlsbad","0316"," "
"121","CANNON PARK","Cannon Park","1.67471867","Local","Carlsbad Bl and Cannon Rd","City of Carlsbad","","City of Carlsbad","0316"," "
"122","HIDDEN CANYON PARK","Hidden Canyon Park","20.73967528","Local","Carlsbad Village Dr","City of Carlsbad","","City of Carlsbad","0316"," "
"123","DOG PARK","Dog Park","1.19168731","Local","Carlsbad Village Dr","City of Carlsbad","","City of Carlsbad","0316"," "
"124","AVIARA OAKS SCHOOL FIELD","Aviara Oaks School Field","4.71469228","Local","Ambrosia Ln & Aviara Pkwy","City of Carlsbad","","City of Carlsbad","0316"," "
"125","HOSP GROVE PARK","Hosp Grove Park","73.95039154","Local","Jefferson & Monroe","City of Carlsbad","","City of Carlsbad","0316"," "
"126","CARLSBAD HIGH SCHOOL","Carlsbad High School","1.67602402","Local","3557 Monroe St","City of Carlsbad","","City of Carlsbad","0316"," "
"127","MONROE STREET POOL","Monroe Street Pool","1.97191296","Local","3557 Monroe St","City of Carlsbad","","City of Carlsbad","0316"," "
"128","MAGNOLIA ATHLETIC FIELD","Magnolia Athletic Field","8.52876527","Local","Valley St and Tamarack Av","City of Carlsbad","","City of Carlsbad","0316"," "
"129","Independence Park","Independence Park","4.60685034","Local","1248 Calle Santiago","City of Chula Vista","226","City of Chula Vista","0316"," "
"130","Rancho Del Rey Park North","Rancho Del Rey Park North","3.53217207","Local","1311 Buena Vista Wy","City of Chula Vista","35","City of Chula Vista","0316"," "
"131","Rancho Del Rey Finger","Rancho Del Rey Park Finger","0.69846912","Local","1311 Buena Vista Wy","City of Chula Vista","41","City of Chula Vista","0316"," "
"132","Rancho Del Rey South","Rancho Del Rey Park South","5.04336357","Local","1311 Buena Vista Wy","City of Chula Vista","224","City of Chula Vista","0316"," "
"133","Hilltop Park","Hilltop Park","9.30002972","Local","780 Hilltop Dr","City of Chula Vista","206","City of Chula Vista","0316"," "
"134","Harborside Park","Harborside Park","5.10771167","Local","670 Oxford St","City of Chula Vista","250","City of Chula Vista","0316"," "
"135","Lauderbach Park","Lauderbach Park","3.78933451","Local","333 Oxford St","City of Chula Vista","229","City of Chula Vista","0316"," "
"136","Palomar Park","Palomar Park","2.81098776","Local","1350 Park Dr","City of Chula Vista","214","City of Chula Vista","0316"," "
"137","Sherwood Park","Sherwood Park","0.29902796","Local","69 Sherwood St","City of Chula Vista","208","City of Chula Vista","0316"," "
"138","SDG&E West","Sdg&E West","9.33781069","Local","1450 Hilltop Dr","City of Chula Vista","213","City of Chula Vista","0316"," "
"139","SDG&E East","Sdg&E East","10.46652646","Local","1420 Loma Ln","City of Chula Vista","209","City of Chula Vista","0316"," "
"140","Explorer Park","Explorer Park","5.54709064","Local","Rancho Del Rey Py & Norella St","City of Chula Vista","241","City of Chula Vista","0316"," "
"141","POINSETTIA PARK","Poinsettia Park","41.24748700","Local","6600 Hidden Valley Road","City of Carlsbad","","City of Carlsbad","0316"," "
"142","LEVANTE PARK","Levante Park","3.27725882","Local","3035 Levante St","City of Carlsbad","","City of Carlsbad","0316"," "
"143","Hawk View Park","Hawk View Park","1.86565175","Local","1309 Blue Heron Ave","City of Encinitas","203","City of Encinitas","0216"," "
"144","Sun Vista Park","Sun Vista Park","4.16829463","Local","2011 Avenida La Posta","City of Encinitas","753","City of Encinitas","0216"," "
"145","Little Oaks Equestrian Park","Little Oaks Equestrian Park","1.56836172","Other","2879 Lone Jack Rd","City of Encinitas","195","City of Encinitas","0216"," "
"146","Oak Crest Park","Oak Crest Park","6.40028740","Local","1219 Encinitas Blvd","City of Encinitas","800","City of Encinitas","0216"," "
"147","Las Verdes Park","Las Verdes Park","1.47207482","Local","1390 Paseo De Las Verdes","City of Encinitas","","City of Encinitas","0216"," "
"148","Mildred MacPherson Park","Mildred Macpherson Park","1.00797836","Local","1045 S Vulcan Ave","City of Encinitas","38","City of Encinitas","0216"," "
"149","MacKenzie Creek Park","Mackenzie Creek Park","6.82224498","Local","2775 Mackenzie Creek Rd","City of Chula Vista","244","City of Chula Vista","0316"," "
"150","Montevalle Park","Montevalle Park","27.44448313","Local","840 Duncan Ranch Rd","City of Chula Vista","346","City of Chula Vista","0316"," "
"151","Chula Vista Community Park","Chula Vista Community Park","13.98665528","Local","1060 Eastlake Pkwy","City of Chula Vista","240","City of Chula Vista","0316"," "
"152","Salt Creek Park","Salt Creek Park","23.23622743","Local","2710 Otay Lakes Rd","City of Chula Vista","324","City of Chula Vista","0316"," "
"153","Sunset View Park","Sunset View Park","11.76847958","Local","1390 S Greensview Dr","City of Chula Vista","238","City of Chula Vista","0316"," "
"154","Bostonia","Bostonia Park","3.22968519","Local","1049 Bostonia Street","City of El Cajon","","City of El Cajon","0216"," "
"155","Tuttle","Tuttle Park","8.66736663","Local","379 W. Chase Avenue","City of El Cajon","","City of El Cajon","0216"," "
"156","Fire Station","Fire Station","0.45223818","Local","695 Tyrone Street","City of El Cajon","","City of El Cajon","0216"," "
"157","Hillside","Hillside Park","23.66231153","Local","840 Buena Terrace","City of El Cajon","","City of El Cajon","0216"," "
"158","Albert Van Zanten","Albert Van Zanten Park","11.22538284","Local","1495 Greenfield Drive","City of El Cajon","","City of El Cajon","0216"," "
"159","Centennial Plaza","Centennial Plaza Park","1.84517935","Local","200 Civic Center Way","City of El Cajon","","City of El Cajon","0216"," "
"160","Orpheus Park","Orpheus Park","2.64441973","Local","482 Orpheus Ave","City of Encinitas","110","City of Encinitas","0216"," "
"161","Kuhlken Park","Kuhlken Park","2.53671815","Local","","City of La Mesa","","City of La Mesa","0316"," "
"162","Centennial Park","Centennial Park","1.77889737","Local","","City of Coronado","","City of Coronado","0216"," "
"163","Rotary Park","Rotary Park","0.21239519","Local","","City of Coronado","","City of Coronado","0216"," "
"164","Harbor View Park","Harbor View Park","0.39952509","Local","","City of Coronado","","City of Coronado","0216"," "
"165","Spreckles Park Wests","Spreckles Park Wests","4.09520204","Local","","City of Coronado","","City of Coronado","0216"," "
"166","Vista del Barco","Vista Del Barco Park","0.14651599","Local","","City of Coronado","","City of Coronado","0216"," "
"167","Vernetti Field","Vernetti Field","1.52291525","Local","","City of Coronado","","City of Coronado","0216"," "
"168","POWERHOUSE PARK","Powerhouse Park","2.15954525","Local","","City of Del Mar","","City of Del Mar","0216"," "
"169","SEA GROVE PARK","Sea Grove Park","0.84525657","Local","","City of Del Mar","","City of Del Mar","0216"," "
"170","TORREY PINES STATE RESERVE","Torrey Pines State Reserve","198.78094488","Local","","City of Del Mar","","City of Del Mar","0216"," "
"171","DOG BEACH","Dog Beach","2.11889028","Local","","City of Del Mar","","City of Del Mar","0216"," "
"172","CREST RIM PARK","Crest Rim Park","0.24284997","Local","","City of Del Mar","","City of Del Mar","0216"," "
"173","SEA CLIFF PARK","Sea Cliff Park","0.83237849","Local","","City of Del Mar","","City of Del Mar","0216"," "
"174","Bill Beck","Bill Beck Park","0.74203157","Local","543 N. Pierce Street","City of El Cajon","","City of El Cajon","0216"," "
"175","Fletcher Hills","Fletcher Hills","0.76932166","Local","2345 Center Place","City of El Cajon","","City of El Cajon","0216"," "
"176","Wells","Wells Park","16.56788875","Local","1153 E. Madison Avenue","City of El Cajon","","City of El Cajon","0216"," "
"177","Kennedy","Kennedy Park","10.35739759","Local","1675 E. Madison Avenue","City of El Cajon","","City of El Cajon","0216"," "
"178","Judson","Judson Park","0.32329587","Local","326 N. Magnolia Avenue","City of El Cajon","","City of El Cajon","0216"," "
"179","Prescott Promenade","Prescott Promenade","1.99613222","Local","201 E. Main Street","City of El Cajon","","City of El Cajon","0216"," "
"180","Paseo Del Rey Park","Paseo Del Rey Park","8.87854286","Local","750 Paseo Del Rey","City of Chula Vista","225","City of Chula Vista","0316"," "
"181","LEO CARRILLO HISTORIC PARK","Leo Carrillo Historic Park","27.38300827","Local","Melrose Dr and Poinsettia Ln","City of Carlsbad","","City of Carlsbad","0316"," "
"182","AVIARA COMMUNITY PARK ","Aviara Community Park ","24.25045718","Local","Poinsettia Ln & Ambrosia Ln","City of Carlsbad","","City of Carlsbad","0316"," "
"183","CADENCIA PARK","Cadencia Park","4.02233182","Local","3300 Cadencia St","City of Carlsbad","","City of Carlsbad","0316"," "
"184","LA COSTA CANYON PARK","La Costa Canyon Park","14.68306206","Local","Pueblo St and Rana Court","City of Carlsbad","","City of Carlsbad","0316"," "
"185","El Toyon Park","El Toyon Park","22.86872728","Local","","City of National City","5542204600","City of National City","0316"," "
"186","Morgan Square Fountain","Morgan Square Fountain","0.21205586","Local","","City of National City"," ","City of National City","0316"," "
"187","Boat Launch / Aquatic Center","Boat Launch / Aquatic Center","2.94435170","Local","","City of National City"," ","City of National City","0316"," "
"188","Pool","Pool","0.18411113","Local","","City of National City","5574402500","City of National City","0316"," "
"189","Las Palmas Park","Las Palmas Park","19.23279559","Local","","City of National City","5613603500","City of National City","0316"," "
"190","Kimball Park","Kimball Park","21.37180885","Local","","City of National City","5601000300","City of National City","0316"," "
"191","Sweetwater Heights Park","Sweetwater Heights Park","2.24708520","Local","","City of National City","5642900600","City of National City","0316"," "
"192","Paradise Creek Educational Park","Paradise Creek Educational Park","2.05752337","Local","","City of National City","5602060300","City of National City","0316"," "
"193","Golf Course","Golf Course","43.89485907","Local","","City of National City","5631502200","City of National City","0316"," "
"194","Pepper Park","Pepper Park","3.55638799","Local","","City of National City"," ","City of National City","0316"," "
"195","Valle Verde Neighborhood Park","Valle Verde Neighborhood Park","4.94192680","Local","","City of Poway","","City of Poway","0216"," "
"196","Adobe Ridge Neighborhood Park","Adobe Ridge Neighborhood Park","2.59472521","Local","","City of Poway","","City of Poway","0216"," "
"197","Windingwalk Park","Windingwalk Park","9.46718635","Local","1675 Exploration Falls Dr","City of Chula Vista","325","City of Chula Vista","0316"," "
"198","Spreckles Park","Spreckles Park","4.08852739","Local","","City of Coronado","","City of Coronado","0216"," "
"199","Palm Park","Palm Park","0.40170644","Local","","City of Coronado","","City of Coronado","0216"," "
"200","Triangle Park","Triangle Park","0.39342184","Local","","City of Coronado","","City of Coronado","0216"," "
"201","Glorietta Bay Park","Glorietta Bay Park","3.83792532","Local","","City of Coronado","","City of Coronado","0216"," "
"202","Bayview Park","Bayview Park","0.20397566","Local","","City of Coronado","","City of Coronado","0216"," "
"203","Sunset Park","Sunset Park","3.27636787","Local","","City of Coronado","","City of Coronado","0216"," "
"204","Star Park","Star Park","0.66362681","Local","","City of Coronado","","City of Coronado","0216"," "
"205","Tidelands Park","Tidelands Park","25.80553066","Local","","City of Coronado","","City of Coronado","0216"," "
"206","Mathewson Park","Mathewson Park","1.30639873","Local","","City of Coronado","","City of Coronado","0216"," "
"207","Bay Circle Park","Bay Circle Park","0.41572885","Local","","City of Coronado","","City of Coronado","0216"," "
"208","Bandel Park","Bandel Park","0.38347904","Local","","City of Coronado","","City of Coronado","0216"," "
"209","Vetter Park","Vetter Park","0.57730400","Local","","City of Coronado","","City of Coronado","0216"," "
"210","North Cays Park","North Cays Park","0.92151157","Local","","City of Coronado","","City of Coronado","0216"," "
"211","Coronadao Cays Park","Coronadao Cays Park","15.55840291","Local","","City of Coronado","","City of Coronado","0216"," "
"212","Renette","Renette Park","4.81166029","Local","935 S. Emerald Avenue","City of El Cajon","","City of El Cajon","0216"," "
"213","Ecke Sports Park","Ecke Sports Park","9.56300280","Local","278 Saxony Rd","City of Encinitas","107","City of Encinitas","0216"," "
"214","Voyager Park","Voyager Park","11.24624591","Local","1178 E J St","City of Chula Vista","242","City of Chula Vista","0316"," "
"215","Harvest Park","Harvest Park","6.71325475","Local","1550 E Palomar St","City of Chula Vista","109","City of Chula Vista","0316"," "
"216","Heritage Park","Heritage Park","10.73290280","Local","1381 E Palomar St","City of Chula Vista","234","City of Chula Vista","0316"," "
"217","Bonita Long Canyon Park","Bonita Long Canyon Park","11.95374162","Local","1745 Coltridge Ln","City of Chula Vista","232","City of Chula Vista","0316"," "
