"objectid","2name","name","gis_acres","park_type","address","owner","source_id","source","source_dt","src_notes"
"1005","CARMEL VALLEY OS","Carmel Valley Open Space","5.81105153","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1006","CREST CANYON OS PARK","Crest Canyon Open Space Park","20.00029466","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1007","MISSION VALLEY PRESERVE","Mission Valley Preserve","0.17046715","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1008","TIERRASANTA OS","Tierrasanta Open Space","4.10305113","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1009","TIERRASANTA OS","Tierrasanta Open Space","7.36529573","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1010","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","0.12367937","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1011","SWITZER OS","Switzer Open Space","1.48888411","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1012","CANYON HILLS OS","Canyon Hills Open Space","0.13019374","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1013","PACIFIC BEACH OS","Pacific Beach Open Space","1.54382633","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1014","TIERRASANTA OS","Tierrasanta Open Space","6.07836508","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1015","MISSION TRAILS OS","Mission Trails Open Space","30.02110425","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1016","MISSION TRAILS OS","Mission Trails Open Space","5.96546231","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1017","CANYON HILLS OS","Canyon Hills Open Space","0.55951500","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1018","MISSION TRAILS OS","Mission Trails Open Space","0.58921327","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1019","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","24.04441218","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1020","SOUTH BAY TERRACES OS","South Bay Terraces Open Space","0.81475190","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1021","ENCANTO EXPRESSWAY OS","Encanto Expressway Open Space","0.25252082","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1022","OTAY MESA OS","Otay Mesa Open Space","18.78580122","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1023","CHOLLAS PARKWAY OS","Chollas Parkway Open Space","3.26750985","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1024","OTAY MESA OS","Otay Mesa Open Space","0.90905588","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1025","CANYON HILLS OS","Canyon Hills Open Space","0.14564372","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1026","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","3.41872610","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1027","OTAY MESA VERNAL POOL OS","Otay Mesa Vernal Pool Open Space","1.08778403","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1028","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","0.14470099","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1029","34TH ST CANYON OS","34th St Canyon Open Space","0.25801188","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1030","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","2.79681375","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1031","LEXINGTON CANYON OS","Lexington Canyon Open Space","0.07898954","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1032","TECOLOTE CANYON NATURAL OS PARK","Tecolote Canyon Natural Open Space Park","0.73061028","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1033","TIERRASANTA OS","Tierrasanta Open Space","5.61005682","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1034","RANCHO MISSION CANYON OS","Rancho Mission Canyon Open Space","7.75368238","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1035","ENCANTO EXPRESSWAY OS","Encanto Expressway Open Space","0.15165679","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1036","POTTERY CANYON NATURAL OS PARK","Pottery Canyon Natural Open Space Park","3.54685365","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1037","MISSION HILLS OS PARK","Mission Hills Open Space Park","0.10423420","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1038","34TH ST CANYON OS","34th St Canyon Open Space","0.05589949","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1039","SOUTH BAY TERRACES OS","South Bay Terraces Open Space","0.70185040","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1040","ENCANTO EXPRESSWAY OS","Encanto Expressway Open Space","2.33945689","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1041","CANYON HILLS OS","Canyon Hills Open Space","0.16473846","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1042","CANYON HILLS OS","Canyon Hills Open Space","0.11004980","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1043","NORTH CITY WEST OS","North City West Open Space","15.18729630","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1044","SABRE SPRINGS OS","Sabre Springs Open Space","37.79788077","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1045","LA JOLLA OS","La Jolla Open Space","0.07952722","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1046","32ND ST CANYON OS","32nd St Canyon Open Space","0.12347994","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1047","CHOLLAS PARKWAY OS","Chollas Parkway Open Space","0.35846171","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1048","LOS PENASQUITOS CANYON VERNAL POOL OS","Los Penasquitos Canyon Vernal Pool Open Space","8.70346325","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1049","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","16.42637080","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1050","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","28.51476759","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1051","CANYON HILLS OS","Canyon Hills Open Space","0.09843696","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1052","SCRIPPS MIRAMAR OS","Scripps Miramar Open Space","12.44250785","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"1053","SAN PASQUAL TRAILS OS","San Pasqual Trails Open Space","41.42865556","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
