objectid,Park,alias,park_type,Location,Zip Code
2670,Lake Morena Park,Lake Morena County Park,Regional,"2550 Lake Morena Drive, Campo, Ca 91906",91906
2674,Lincoln Acres Park,Lincoln Acres County Park,Local,"2717 Granger Ave., National City, Ca 91950",91950
2675,Lindo Lake Park,Lindo Lake County Park,Local,"12660 Lindo Lane, Lakeside, Ca 92040",92040
2677,Lonny Brewer Park,Lonny Brewer County Park,Local,"10925 Fury Lane, El Cajon, Ca 92019",92019
2678,Los Coches Historical Marker,Los Coches Historical Marker,Historic,Unk,92040
2679,Lusardi Creek Preserve,Lusardi Creek County Preserve,Open Space,"16500 Rio Vista Road, San Diego, Ca 92127",92127
2680,Magdalena Ecke Preserve,Magdalena Ecke County Preserve,Open Space,"2710 Manchester Ave. Cardiff, Ca 92007",92024
2683,Mt. Olympus Preserve,Mt. Olympus County Preserve,Open Space,"7000 Mount Olympus Valley Road, Fallbrook Ca 92028",92126
2685,Nancy Jane Park,Nancy Jane County Park,Local,"120 N. Park Drive, El Cajon, Ca 92021",92021
2686,Old Ironsides Park,Old Ironsides County Park,Local,"326 Harbison Canyon Road, El Cajon, Ca 92020",92019
2687,Old Springs Preserve,Old Springs County Preserve,Open Space,"2465 Old Springs Road, Borrego Springs, Ca 92004",92111
2689,Pala Mesa Preserve,Pala Mesa County Preserve,Open Space,"220 Rice Canyon Road, Fallbrook, Ca 92028",92028
2692,San Diego Botanic Garden,San Diego Botanic Garden,Local,"230 Quail Gardens Drive, Encinitas, Ca 92024",92024
2694,Ramona Grasslands Preserve,Ramona Grasslands County Preserve,Open Space,"17460 Highland Valley Road, Ramona, Ca 92065",92065
2696,Rancho Guajome Adobe,Rancho Guajome Adobe,Historic,"3000 Guajome Lake Road, Oceanside, Ca 92057",92083
2697,Rancho Penasquitos Adobe,Rancho Penasquitos Adobe,Historic,"12122 Canyonside Park, San Diego 92129",92129
2698,Steele Canyon Park,Steele Canyon County Park,Local,"2825 Steele Canyon Road, El Cajon, Ca 92019",92019
2699,Sweetwater Lane Sports Complex,Sweetwater Lane Sports Complex,Local,Unk,91977
2700,Del Dios Highlands Preserve,Del Dios Highlands County Preserve,Open Space,"9860 Del Dios Highway, Escondido, Ca 92025",92029
2702,Santa Fe Valley Preserve,Santa Fe Valley Preserve,Open Space,"8600 Del Dios Highway, San Diego, Ca 92127",92127
2703,Val Sereno Preserve,Val Sereno County Preserve,Open Space,"1756 Highland Drive, Del Mar, Ca 92104",92024
2704,Vallecito Park,Vallecito County Park,Regional,"37349 Great Southern Overland Stage Route 1849, Ju",92037
2706,Whaley House Complex,Whaley House Complex,Historic,"2476 San Diego Ave., San Diego, Ca 92110",92110
2707,Wilderness Gardens Preserve,Wilderness Gardens County Preserve,Open Space,"14209 Highway 76, Pala, Ca 92059",92059
2712,San Dieguito Park,San Dieguito County Park,Regional,"1756 Highland Drive, Del Mar, Ca 92014",92127
2713,4S Ranch Liberty Park,4S Ranch Liberty Park,Local,"17750 Hunters Ridge Road, San Diego, Ca 92127",92127
2714,Lakeside Equestrian Facility,Lakeside Equestrian Facility,Regional,Unk,92040
2715,Otay Lakes Park,Otay Lakes County Park,Local,"2270 Weste Road, Chula Vista, Ca 91915",91915
2716,Barnett Ranch Preserve,Barnett Ranch County Preserve,Open Space,"1500 Deviney Lane/San Vicente Road, Ramona, Ca 920",92065
2718,Bottle Peak Preserve,Bottle Peak County Preserve,Open Space,Unk,92027
2719,Waterfront Park,Waterfront Park,Regional,"1600 Pacific Highway, San Diego, Ca 92101",92101
2720,Spring Valley Gym / Teen Ctr,Spring Valley Gymnasium / Teen Center,Local,"838 Kempton St., Spring Valley, Ca 91977",91977
2721,Hellhole Canyon Preserve,Hellhole Canyon County Preserve,Open Space,"19324 Santee Lane, Valley Center, Ca 92082",92082
2723,4S Ranch Sports Park,4S Ranch Sports Park,Local,"16118D 4S Ranch Parkway, San Diego, Ca 92127",92127
2724,4S Ranch Patriot Park,4S Ranch Patriot Park,Local,"10502 Paseo De Linda, San Diego, Ca 92127",92127
2725,4S Ranch Heritage Park,4S Ranch Heritage Park,Local,"16789 Deer Ridge Road, San Diego, Ca 92127",92127
2726,4S Ranch Homestead Park,4S Ranch Homestead Park,Local,"9989 Fox Valley Road, San Diego, Ca 92127",92127
2727,4S Ranch Community Park,4S Ranch Community Park,Local,"16118 4S Ranch Parkway, San Diego, Ca 92127",92127
2728,Luelf Pond Preserve,Luelf Pond County Preserve,Open Space,"Corner Of Dye Road And Southern Oak Road, Ramona, ",92065
2729,Holly Oaks Preserve,Holly Oaks County Preserve,Open Space,"3000 Dunck Pond Lane, Ramona, Ca 92065",92130
2730,Spring Valley Community Center,Spring Valley Community Center,Local,"8735 Jamacha Blvd., Spring Valley, Ca 91977",91977
2731,Lakeside Community Center,Lakeside Community Center,Local,"9841 Vine St., Lakeside, Ca 92040",92040
2732,Sweetwater Regional Park,Sweetwater Regional Park,Regional,Unk,91902
2733,Provence House,Provence House,Regional,"4370 Sweetwater Road, Bonita, Ca 91902",91902
2734,Dictionary Hill Preserve,Dictionary Hill County Preserve,Open Space,"2036 S. Barcelona St, Spring Valley, Ca 91977",91977
2737,Four Gee Park,Four Gee County Park,Local,"161180 4S Ranch Parkway, San Diego, Ca 92127",92127
2739,Lakeside Teen Center,Lakeside Teen Center,Local,"9911 Vine St., Lakeside, Ca 92040",92040
2741,Otay Valley Regional Park,Otay Valley Regional Park,Regional,"2270 Wueste Road, Chula Vista, Ca 91915",92173
2742,Mt. Woodson Gateway Preserve,Mt. Woodson Gateway County Preserve,Open Space,"Mt Woodson Rd And Sr67, Ramona Ca 92065",92121
2743,Oakoasis Preserve,Oakoasis County Preserve,Open Space,"12620 Wildcat Canyon Road, Lakeside, Ca 92040",92040
2744,Louis A. Stelzer Park,Louis A. Stelzer County Park,Regional,"11470 Wildcat Canyon Road, Lakeside, Ca 92040",92040
2745,Louis A. Stelzer Park,Louis A. Stelzer County Park,Regional,"11470 Wildcat Canyon Road, Lakeside, Ca 92040",92040
2748,Sycamore Canyon / Goodan Ranch,Sycamore Canyon / Goodan Ranch County Preserve,Open Space,"16281 Sycamore Canyon Road, Poway, Ca 92064",92064
2749,Sycamore Canyon / Goodan Ranch,Sycamore Canyon / Goodan Ranch County Preserve,Open Space,"16281 Sycamore Canyon Road, Poway, Ca 92064",92064
2751,Cactus Park,Cactus County Park,Local,"10610 Ashwood St., Lakeside, Ca 92040",92040
2752,Cactus Park,Cactus County Park,Local,"10610 Ashwood St., Lakeside, Ca 92040",92040
2755,Lakeside Linkage Preserve,Lakeside Linkage County Preserve,Open Space,"9119 Manajo Road, Lakeside, Ca 92040",92021
2756,Lakeside Linkage Preserve,Lakeside Linkage County Preserve,Open Space,"9119 Manajo Road, Lakeside, Ca 92040",92021
2757,Old Ironsides Park,Old Ironsides County Park,Local,"326 Harbison Canyon Road, El Cajon, Ca 92019",92019
2758,Ramona Grasslands Preserve,Ramona Grasslands County Preserve,Open Space,"17460 Highland Valley Road, Ramona, Ca 92065",92065
2759,Calavo Park,Calavo Park,Local,Caltrans Deed,91978
2764,San Luis Rey River Park,San Luis Rey River Park,Open Space,"5521 W. Lilac Road, Bonsall, Ca 92003",92003
2765,Horse Creek Ridge Sports Park,Horse Creek Ridge Sports Park,Local,"240 Gold Palomino Way, Fallbrook Ca, 92028",92028
2767,Harmony Grove Community Park,Harmony Grove Village Community Park,Local,"2982 Harmony Grove Road, Escondido, Ca 92029",92029
2769,Sweetwater Place Park,Sweetwater Place Park,Local,Sweetwater Springs Boulevard And Jamacha Boulevard,91978
