objectid,Park,alias,park_type,Location,Zip Code
360,Rancho Buena Vista Adobe,Rancho Buena Vista Adobe,Local,640 Alta Vista Dr,92084
361,Brengle Terrace Park,Brengle Terrace Park,Local,1200 Vale Terrace Dr,92084
363,Breeze Hill Park,Breeze Hill Park,Local,645 S Melrose Dr,92081
364,South Buena Vista Park,South Buena Vista Park,Local,1602 Mountain Pass Cir,92081
365,Buena Vista Park Ballfields,Buena Vista Park Ballfields,Local,1851 S Melrose Dr,92081
366,Thibodo Park,Thibodo Park,Local,1150 Lupine Hills Dr,92081
367,Shadowridge Park,Shadowridge Park,Local,2101 Lupine Hills Dr,92081
369,Buena Vista Park Pond And Open Space,Buena Vista Park Pond And Open Space,Local,1749 Shadowridge Dr,92081
370,Buena Vista Park,Buena Vista Park,Local,2009 Melrose Dr,92081
371,West Hills Park,West Hills Park,Local,8750 Mast Blvd,92110
372,Big Rock Park,Big Rock Park,Local,8125 Arlette Street,92071
373,Shadow Hill Park,Shadow Hill Park,Local,9161 Shadow Hill Road,92071
374,Mast Park,Mast Park,Local,9125 Carlton Hills Blvd,92071
375,Woodglen Vista Park,Woodglen Vista Park,Local,10250 Woodglen Vista Drive,92071
377,Santee Mini Park,Santee Mini Park,Local,10445 Mission Gorge Road,92071
389,Palisades Park,Palisades Park,Local,Rancho Del Oro And Vista Del Oro,92109
391,"Todd, Buddy Park","Todd, Buddy Park",Local,Mesa Drive And Parnassus Circle,92054
394,Cabrillo National Monument,Cabrillo National Monument,National,"Cabrillo Memorial Drive, San Diego",92106
397,Greg Rogers Park Os,Greg Rogers Park Open Space,Open Space,1189 Oleander Av,91911
399,Capistrano Park,Capistrano Park,Local,770 Capistrano Drive,92058
400,"Landes, John Park","Landes, John Park",Local,2855 Cedar Road,92056
401,Ivey Ranch Park,Ivey Ranch Park,Local,4101 Mission Avenue,92057
402,Tyson Street Park,Tyson Street Park,Local,206 S. Strand,92054
404,Terra Nova Park Os,Terra Nova Park Open Space,Open Space,450 Hidden Vista Dr,91910
407,Ocean Beach Gateway,Ocean Beach Gateway,Local,"2300 Sunset Cliffs Blvd, 92107",92107
409,Cadman Cp,Cadman Park,Local,"4280 Avati Drive, 92117",92114
411,South Clairemont Cp,South Clairemont Park,Local,"3577 Clairemont Dr, 92117",92117
414,Henderson Sport Cplx,Henderson Sport Cplx,Local,"1092 S 45Th St, 92113",92113
417,Sunnyslope Np,Sunnyslope Park,Local,"2600 Elm St., 92154",92027
418,Villa Monserate Np,Villa Monserate Park,Local,"10283 Perez Court, 92124",92124
419,Villa Norte Np,Villa Norte Park,Local,"6597 Antigua Blvd., 92124",92037
426,Libby Lake Park,Libby Lake Park,Local,424 Calle Montecito,92057
427,"Ortega, Ron Recreation Park","Ortega, Ron Recreation Park",Local,Brooks And Maxson,92054
428,Presidio Park,Presidio Park,Regional,"2805 Presidio Dr, 92110",92110
432,Pt Loma Cp,Pt Loma Park,Local,"1059 Catalina Blvd, 92106",91911
439,Torrey Pines City Park,Torrey Pines City Park,Regional,"12001 Torrey Pines Park Rd, 92037",92037
440,Charlotte Park,Charlotte Park,Regional,"7962 Princess St, 92037",37209
441,Hickman Field Park,Hickman Field Park,Regional,"6660 Hickman Field Drive, 92111",92111
446,Lomita Np,Lomita Park,Local,"8205 Leucadia St., 92114",92114
448,Marie Widman Memorial Park,Marie Widman Memorial Park,Local,"6727 Imperial Ave, 92114",92114
449,Boone Np,Boone Park,Local,"7248 Bullock Dr., 92114",92117
450,Z St Mp,Z St Park,Local,"3944 Z St, 92113",92113
458,Dailard Np,Dailard Park,Local,"6391 Cibola Rd, 92120",92120
460,Black Mtn Rch Cp,Black Mtn Rch Park,Local,"14700 Carmel Valley Road, 92128",92127
461,Carmel Mtn Rch Cp,Carmel Mtn Rch Park,Local,"10166 Rancho Carmel Dr, 92128",92128
464,Skyline Hills Cp,Skyline Hills Park,Local,"8285 Skyline Dr., 92114",92114
466,Southcrest Cp,Southcrest Park,Local,"1297 S 40Th St, 92113",92113
467,Paradise Hills Cp,Paradise Hills Park,Local,"6610 Potomac St., 92139",92139
470,Montgomery-Waller Cp,Montgomery-Waller Park,Local,"3020 Coronado Ave., 92154",92154
471,Nicholson'S Point Np,Nicholson'S Point Park,Local,"246 Coast Blvd, 92037",92037
472,Coast Blvd Np,Coast Blvd Park,Local,"322 Coast Blvd, 92037",92037
473,Canyonside Cp,Canyonside Park,Local,"12350 Black Mountain Road, 92129",92129
476,Nobel Athletic Area,Nobel Athletic Area,Local,"8810 Judicial Drive, 92121",92122
480,Tierrasanta Cp,Tierrasanta Park,Local,"11220 Clairemont Mesa Bl., 92124",92124
483,Cleator Bill Cp,Cleator Bill Park,Local,"4412 Nimitz Blvd, 92107",92107
485,Via D Norte Mp,Via D Norte Park,Local,"6165 La Jolla Hermosa Ave, 92037",92037
488,Tourmaline Surfing Np,Tourmaline Surfing Park,Local,"601 Tourmaline Street, 92109",92109
490,Mt Etna Np,Mt Etna Park,Local,"4741 Mt Etna Drive, 92117",92117
491,Lindbergh Np,Lindbergh Park,Local,"4141 Ashford Street, 92111",92154
493,Old Trolley Barn Np,Old Trolley Barn Park,Local,"1900 Adams Ave., 92116",92116
499,Los Altos Np,Los Altos Park,Local,"3898 Marzo St, 92154",92109
500,Ocean View Hills Np,Ocean View Hills Park,Local,"4925 Ocean View Hills Pkwy, 92154",92154
501,Vista Pacifica Np,Vista Pacifica Park,Local,"6066 Avenida De Las Vistas, 92154",92154
507,Grant Hill Np,Grant Hill Park,Local,"2632 J St, 92102",92102
510,Chicano Park,Chicano Park,Regional,"1982 National Ave., 92113",92113
511,Hermosa Terrace Park,Hermosa Terrace Park,Regional,"6500 Neptune Pl, 92037",92037
512,La Jolla Hermosa Park,La Jolla Hermosa Park,Regional,"5788 Chelsea St, 92037",92037
513,Mission Beach Park,Mission Beach Park,Regional,"804 W Mission Bay Dr, 92109",92109
515,Naval Training Center Park,Naval Training Center Park,Regional,"2750 Womble Rd, 92106",92106
517,Sunset Cliffs Natural Park,Sunset Cliffs Natural Park,Regional,"700 Sunset Cliffs Blvd, 92107",92107
518,Kenmore Terrace Mp,Kenmore Terrace Park,Local,"4842 Kenmore Terrace, 92103",92116
520,Collier Np,Collier Park,Local,"2351 Soto Street, 92107",92115
521,Windansea Np,Windansea Park,Local,"6950 Neptune Pl, 92037",92037
522,Jerabek Np,Jerabek Park,Local,"10150 Avenida Magnifica, 92131",92131
524,Park De La Cruz Np,Park De La Cruz Park,Local,"3901 Landis St. , 92105",92105
526,Martin Ave Mp,Martin Ave Park,Local,"3469 Martin Ave, 92113",92113
529,Chollas Parkway Open Space,Chollas Parkway Open Space,Open Space,"2891 Euclid Ave, 92105",92105
530,Sunshine Berardini Field,Sunshine Berardini Field,Local,"4416 Federal Blvd, 92102",92105
532,Mccall St Mp,Mccall St Park,Local,"453 San Antonio Ave, 92106",92106
533,Horton Plaza Np,Horton Plaza Park,Local,"325 Broadway Ave, 92101",92101
534,Nestor Np,Nestor Park,Local,"2423 Grove Ave., 92154",92154
539,Kelly Street Np,Kelly Street Park,Local,"6640 Kelly Street, 92111",92111
540,Mission Heights Np,Mission Heights Park,Local,"1716 Westinghouse Street, 92111",92108
542,Penasquitos Village Np,Penasquitos Village Park,Local,"10636 Carmel Mountain Rd, 92129",92129
545,Pantoja Np,Pantoja Park,Local,"524 West G Street, 92118",92122
551,Del Mar Mesa Np,Del Mar Mesa Park,Local,"6622 Duck Pond Ln, 92130",92130
552,Twin Trails Np,Twin Trails Park,Local,"8900 Twin Trails Drive, 92129",92129
553,Ridgewood Np,Ridgewood Park,Local,"12530 La Tortola, 92129",92139
554,Penasquitos Town Ctr Np,Penasquitos Town Ctr Park,Local,"13349 Salmon River Rd, 92129",92129
555,Views West Np,Views West Park,Local,"12904 La Tortola, 92129",92129
558,Clay Ave Mp,Clay Ave Park,Local,"3156 Clay Ave, 92113",92113
559,Canyon View Pocket Mp,Canyon View Pocket Park,Local,"11724 Spring Canyon Rd., 92131",92131
561,Cypress Canyon Np,Cypress Canyon Park,Local,"11470 Cypress Canyon Rd., 92131",92131
562,Torrey Meadows Np,Torrey Meadows Park,Local,"13516 Torrey Meadows Dr, 92129",92129
563,Adobe Bluffs Np,Adobe Bluffs Park,Local,"8805 Gainsborough Avenue, 92129",92129
564,Highland Ranch Np,Highland Ranch Park,Local,"12140 Eastbourne Road, 92128",92128
565,Crest Cyn Np,Crest Cyn Park,Local,"2250 Del Mar Heights Road, 92130",92014
566,Carmel Del Mar Np,Carmel Del Mar Park,Local,"12345 Carmel Park Drive, 92103",92130
567,Windwood Np,Windwood Park,Local,"12757 Carmel Creek Rd, 92130",92114
568,Carmel Mission Np,Carmel Mission Park,Local,"12281 Carmel Country Rd, 92130",92130
569,Plumosa Mp,Plumosa Park,Local,"2676 Chatsworth Blvd, 92106",92106
572,Gompers Np,Gompers Park,Local,"4926 Hilltop Dr., 92102",92102
574,Santa Isabel Mp,Santa Isabel Park,Local,"771 Santa Isabel Dr, 92114",92114
577,Keiller Np,Keiller Park,Local,"7400 Lisbon St., 92114",92114
578,Lopez Ridge Np,Lopez Ridge Park,Local,"7245 Calle Cristobal, 92126",92121
581,Aviary Np,Aviary Park,Local,"9782 Aviary Drive., 92131",92131
582,Forestview Mp,Forestview Park,Local,"11201 Forestview Lane, 92131",92131
583,Lakeview Np,Lakeview Park,Local,"10788 Mira Lago Trl, 92131",92040
584,Miramar Overlook Np,Miramar Overlook Park,Local,"11417 Scripps Ranch Blvd, 92131",92131
586,Vista Terrace Np,Vista Terrace Park,Local,"301 Athey Ave., 92173",91941
587,San Ysidro Athl Area Larsen Field,San Ysidro Athl Area Larsen Field,Local,"455 Sycamore Rd, 92173",92173
589,Mesa Viking Np,Mesa Viking Park,Local,"11278 Westonhill Drive, 92126",92126
590,Westview Np,Westview Park,Local,"11278 Westview Parkway, 92126",92126
592,Semillon Mp,Semillon Park,Local,"12074 Semillon Blvd, 92131",92131
593,Spring Canyon Np,Spring Canyon Park,Local,"11157 Scripps Poway Pkwy, 92131",92131
594,Del Mar Trails Np,Del Mar Trails Park,Local,"4450 Del Mar Trails Rd, 92130",92130
595,Coral Gate Np,Coral Gate Park,Local,"3279 Anella Rd., 92173",92173
599,Emerald Hills Np,Emerald Hills Park,Local,"1501Kelton Rd. , 92114",92114
601,Zena Mp,Zena Park,Local,"6458 Zena Dr, 92115",92115
602,Cabrillo N Mp,Cabrillo N Park,Local,"3232 Trumbull Street, 92106",92106
603,Azalea Np,Azalea Park,Local,"2596 Violet Ave., 92105",92105
604,Montclair Np,Montclair Park,Local,"2786 Vancouver Ave, 92104",92104
606,Cabrillo S Mp,Cabrillo S Park,Local,"1032 Leroy Street, 92106",92106
607,Sage Canyon Np,Sage Canyon Park,Local,"5252 Harvest Run Drive, 92130",92130
608,Torrey Hills Np,Torrey Hills Park,Local,"4262 Calle Mejillones, 92130",92130
611,Capehart Open Space Park,Capehart Open Space Park,Open Space,"4700 Soledad Mountain Road, 92109",92109
612,Ocean Air Cp,Ocean Air Park,Local,"4770 Fairport Ave, 92130",92130
613,Hidden Trails Np,Hidden Trails Park,Local,1049 Parsons Landing,92154
615,La Zanja Canyon Os,La Zanja Canyon Open Space,Open Space, ,92091
618,Del Mar Mesa Mitigation,Del Mar Mesa Mitigation,Open Space, ,92130
620,Park Northeast Os,Park Northeast Open Space,Open Space, ,92109
621,Cabrillo Heights Np,Cabrillo Heights Park,Local,"8308 Hurlbut Street, 92123",92123
624,Dry Creek Mp,Dry Creek Park,Local,"11369 Scripps Creek Drive,92131",92114
625,Oak Glen Mp,Oak Glen Park,Local,"10775 Spring Canyon Rd, 92131",92117
626,Solana Ranch Np,Solana Ranch Park,Local,"13597 Pacific Highlands Pkwy, 92130",92130
628,Penasquitos Skate Park,Penasquitos Skate Park,Local,"10129 Carmel Mountain Rd, 92129",92129
629,Silver Terrace Mp,Silver Terrace Park,Local,"5500 Friars Road, 92110",94124
630,Sunridge Vista Mp,Sunridge Vista Park,Local,"10305 Azuaga, 92129",92129
631,Teralta Np,Teralta Park,Local,"4100 Central Ave., 92105",92105
632,Antigua Pocket Np,Antigua Pocket Park,Local,"5699 Antigua Blvd., 92124",92124
634,W Lewis St Mp,W Lewis St Park,Local,"792 W Lewis St, 92103",92103
637,Murray Ridge Np,Murray Ridge Park,Local,"8651 Celestine Avenue, 92123",92123
638,Princess Del Cerro Np,Princess Del Cerro Park,Local,"6221 Wenrich Dr, 92120",92120
641,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
642,Solana Highlands Np,Solana Highlands Park,Local,"3520 Long Run Drive, 92130",92130
643,Riviera Del Sol Np,Riviera Del Sol Park,Local,"4524 Riviera Shores St, 92154",92154
644,Sefton Np,Sefton Park,Local,"2508 Hotel Circle Pl, 92108",92107
645,Stonebridge Np,Stonebridge Park,Local,15030 Sycamore Trail Rd.,92131
647,South Crest Trails Np,South Crest Trails Park,Local,"3605 Beta St, 92113",92113
649,Carmel Knollls Np,Carmel Knollls Park,Local,"4850 Carmel Knolls Dr., 92130",92130
650,"Scripps, Ellen B Np","Scripps, Ellen B Park",Local,"1146 Coast Blvd, 92037",92037
651,Cliffridge Np,Cliffridge Park,Local,"8301 Cliffridge Ave, 92037",92037
652,Laureate/Mata Park Mp,Laureate/Mata Park,Local,"2219 Ave De La Playa, 92037",92037
655,Palisades North Np,Palisades North Park,Local,"4937 Ocean Blvd, 92109",92109
656,Western Hills Np,Western Hills Park,Local,"4810 Kane Street, 92110",92071
658,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
659,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
661,Del Mar Mesa Os,Del Mar Mesa Open Space,Open Space, ,92130
662,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
663,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
668,Imperial Market Place,Imperial Market Place,Open Space,"4475 Imperial Ave, 92113",92113
672,Morley Green Mp,Morley Green Park,Local, ,SK9 5NU
673,Edward Tyler Cramer Np,Edward Tyler Cramer Park,Local, ,92111
674,Canon Street Mp,Canon Street Park,Local, ,92106
677,Pasatiempo Np,Pasatiempo Park,Local, ,92120
678,Bedlow Np,Bedlow Park,Local, ,92119
679,Otay Mitigation Site,Otay Mitigation Site,Open Space, ,92154
684,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
685,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
689,Crest Canyon Os Park,Crest Canyon Open Space Park,Open Space, ,92130
690,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
691,Mission Valley Preserve,Mission Valley Preserve,Open Space, ,92110
692,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
693,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
698,La Zanja Canyon Os,La Zanja Canyon Open Space,Open Space, ,92091
703,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
704,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
707,Maple Canyon Os,Maple Canyon Open Space,Open Space, ,92103
708,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
709,Carmel Grove Np,Carmel Grove Park,Local,"3799 Carmel View Road,",92130
711,Ashley Falls Np,Ashley Falls Park,Local,"13030 Ashley Falls Drive., 92130",92130
712,Carmel Creek Np,Carmel Creek Park,Local,"4260 Carmel Center Road, 92103",92130
713,Carmel Valley Cvrep,Carmel Valley Cvrep,Open Space, ,92130
714,Mission Valley Preserve,Mission Valley Preserve,Open Space, ,92110
717,Carmel Valley Cvrep,Carmel Valley Cvrep,Open Space, ,92130
718,Marian Bear Os Park,Marian Bear Open Space Park,Open Space, ,92117
719,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
720,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
721,Weiss Mandell Eastgt Np,Weiss Mandell Eastgt Park,Local,"4202 Executive Dr, 92037",92037
723,Corte Playa San Juan Mp,Corte Playa San Juan Park,Local,"5111 Corte Playa San Juan, 92124",92124
724,Cuvier Mp,Cuvier Park,Local,"528 Coast Blvd, 92037",92037
725,Cypress Valley Mp,Cypress Valley Park,Local,"11871 Stonedale Ct., 92131",92131
726,Ocean Beach Athletic Area Robb Field,Ocean Beach Athletic Area Robb Field,Regional,"2525 Bacon Street, 92107",92107
729,Pearlman Mp,Pearlman Park,Local,"5404 Carmel Knolls Dr., 92130",92130
730,Saratoga  Np,Saratoga  Park,Local,"5151 Saratoga Ave, 92107",92107
731,Soledad Natural Park,Soledad Natural Park,Local,"7016 Soledad Park Rd, 92037",92037
733,Vail Creek Np,Vail Creek Park,Local,"5116 Carmel Knolls Dr, 92130",92130
734,Via Playa Los Santos Mp,Via Playa Los Santos Park,Local,"5112 Via Playa Los Santos, 92124",92124
735,Walls Of Excellence Mp,Walls Of Excellence Park,Local,"4932 Imperial Ave, 92102",92113
737,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
741,Navajo Canyon Os Park,Navajo Canyon Open Space Park,Open Space, ,92120
745,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
748,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
749,Otay Mitigation Site,Otay Mitigation Site,Open Space, ,92154
754,Winterwood Lane Np,Winterwood Lane Park,Local,"7540 Winterwood Ln, 92126",92126
756,Mccain Mp,Mccain Park,Local,"3032 39Th St, 92105",92101
757,Neighborhood 8 Np,Neighborhood 8 Park,Local,"11900 Carmel Creek Rd,92130",92130
759,Ward Canyon Np,Ward Canyon Park,Local,"4642 40Th St, 92116",92116
760,Golden Hill Cp,Golden Hill Park,Local,2600 Golf Course Dr. 92102,92102
761,Childrens Park,Childrens Park,Local," 155 W Island Ave, 92101",92101
762,Sun Ridge Vista Mini-Park,Sun Ridge Vista Mini-Park,Open Space, ,92129
765,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
769,Clear. Site 645,Clear. Site 645,Open Space, ,92105
770,Rancho Mission Canyon Os,Rancho Mission Canyon Open Space,Open Space, ,92120
771,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
774,Clear. Site 762,Clear. Site 762,Open Space, ,92114
776,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
777,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
780,Clear. Site 571,Clear. Site 571,Open Space, ,92116
783,Navajo Canyon Os Park,Navajo Canyon Open Space Park,Open Space, ,92120
785,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
786,Rancho Mission Canyon Os,Rancho Mission Canyon Open Space,Open Space, ,92120
787,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
789,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
791,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
793,San Diego River Park Os,San Diego River Park Open Space,Open Space, ,92108
795,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
796,South Bay Terraces Os,South Bay Terraces Open Space,Open Space, ,92139
799,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
801,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
805,Cypress Canyon Os,Cypress Canyon Open Space,Open Space, ,92131
807,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
809,Mcgonigle Canyon Os,Mcgonigle Canyon Open Space,Open Space, ,92130
811,Carmel Mountain Os,Carmel Mountain Open Space,Open Space, ,92128
813,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
817,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
818,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
821,Old Trolley Barn Park,Old Trolley Barn Park,Open Space, ,92116
822,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
823,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
826,Crest Canyon Os Park,Crest Canyon Open Space Park,Open Space, ,92130
828,La Zanja Canyon Os,La Zanja Canyon Open Space,Open Space, ,92091
830,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
831,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
842,Radio Canyon Extension Os,Radio Canyon Extension Open Space,Open Space, ,92114
843,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
844,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
845,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
846,Torrey Hills Os,Torrey Hills Open Space,Open Space, ,92130
847,Del Mar Mesa Os,Del Mar Mesa Open Space,Open Space, ,92130
849,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
850,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
851,Marian Bear Os Park,Marian Bear Open Space Park,Open Space, ,92117
853,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
854,Sorrento Hills Os,Sorrento Hills Open Space,Open Space, ,92130
856,Marian Bear Os Park,Marian Bear Open Space Park,Open Space, ,92117
857,South Bay Terraces Os,South Bay Terraces Open Space,Open Space, ,92139
862,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
863,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
864,Maple Canyon Os,Maple Canyon Open Space,Open Space, ,92103
865,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
866,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
868,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
871,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
873,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
875,Fairbanks Country Club Os,Fairbanks Country Club Open Space,Open Space, ,92067
876,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
880,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
884,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
886,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
889,Crest Canyon Os Park,Crest Canyon Open Space Park,Open Space, ,92130
892,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
893,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
895,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
896,Paradise Canyon Park,Paradise Canyon Park,Open Space, ,92114
898,Rancho Mission Canyon Os,Rancho Mission Canyon Open Space,Open Space, ,92120
899,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
901,Marian Bear Os Park,Marian Bear Open Space Park,Open Space, ,92117
903,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
905,Carmel Mountain Os,Carmel Mountain Open Space,Open Space, ,92128
907,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
908,Famosa Slough,Famosa Slough,Open Space, ,92107
909,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
912,Maple Canyon Os,Maple Canyon Open Space,Open Space, ,92103
913,Rancho Mission Canyon Os,Rancho Mission Canyon Open Space,Open Space, ,92120
914,Maple Canyon Os,Maple Canyon Open Space,Open Space, ,92103
915,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
917,Maple Canyon Os,Maple Canyon Open Space,Open Space, ,92103
918,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
920,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
924,La Zanja Canyon Os,La Zanja Canyon Open Space,Open Space, ,92091
927,Mission Valley Preserve,Mission Valley Preserve,Open Space, ,92110
928,Carmel Mountain Os,Carmel Mountain Open Space,Open Space, ,92128
931,Mission Valley Preserve,Mission Valley Preserve,Open Space, ,92110
934,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
935,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
937,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
938,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
940,Old Trolley Barn Park,Old Trolley Barn Park,Open Space, ,92116
941,Mcgonigle Canyon Os,Mcgonigle Canyon Open Space,Open Space, ,92130
944,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
945,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
947,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
948,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
950,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
952,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
953,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
956,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
959,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
962,Eugene Place Os,Eugene Place Open Space,Open Space, ,92116
966,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
968,Lopez Canyon Os,Lopez Canyon Open Space,Open Space, ,92121
971,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
975,Fairbanks Country Club Os,Fairbanks Country Club Open Space,Open Space, ,92067
976,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
979,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
983,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
991,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
994,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
996,Mcgonigle Canyon Os,Mcgonigle Canyon Open Space,Open Space, ,92130
997,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1000,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1002,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1003,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1006,Crest Canyon Os Park,Crest Canyon Open Space Park,Open Space, ,92130
1007,Mission Valley Preserve,Mission Valley Preserve,Open Space, ,92110
1008,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1009,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1012,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1014,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1015,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1016,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1017,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1018,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1020,South Bay Terraces Os,South Bay Terraces Open Space,Open Space, ,92139
1025,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1032,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1033,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1034,Rancho Mission Canyon Os,Rancho Mission Canyon Open Space,Open Space, ,92120
1036,Pottery Canyon Natural Os Park,Pottery Canyon Natural Open Space Park,Open Space, ,92111
1039,South Bay Terraces Os,South Bay Terraces Open Space,Open Space, ,92139
1041,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1042,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1051,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1052,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1053,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
1054,Del Mar Mesa Os,Del Mar Mesa Open Space,Open Space, ,92130
